row_number,id_in_master,Year,Month,Day,file_name,sample_type,etraction,species,plant_number,chemistry_number,associated_blank,associated_RTI,Associated_Combined
1,10134,2022,Jun,6,RN18_50_214,Standard,,S2,2,cS002,,,
2,10135,2022,Jun,6,RN18_50_215,Standard,,S2,2,cS002,,RN18_50_214,
3,10136,2022,Jun,6,BN50_38,Blank,,S1,1,cS001,BN50_38,RN18_50_215,COMBINED_1
4,10137,2022,Jun,6,DNE_3109,Sample,ENE 3109,,,CJG1826,BN50_38,RN18_50_215,COMBINED_1
5,10138,2022,Jun,6,DNE_1730,Sample,ENE 1730,,,CJG229,BN50_38,RN18_50_215,COMBINED_1
6,10139,2022,Jun,6,DNE_668,Sample,ENE 668,,,CJG010,BN50_38,RN18_50_215,COMBINED_1
7,10140,2022,Jun,6,DNE_2770,Sample,ENE 2770,,,CJG270,BN50_38,RN18_50_215,COMBINED_1
8,10141,2022,Jun,6,DNE_2965,Sample,ENE 2965,,,CJG798,BN50_38,RN18_50_215,COMBINED_1
9,10142,2022,Jun,6,DNE_2987,Sample,ENE 2987,,,CJG1952,BN50_38,RN18_50_215,COMBINED_1
10,10143,2022,Jun,6,DNE_2989,Sample,ENE 2989,,,CJG1942,BN50_38,RN18_50_215,COMBINED_1
11,10144,2022,Jun,6,DNE_2772,Sample,ENE 2772,,,CJG482,BN50_38,RN18_50_215,
12,10145,2022,Jun,6,RN18_50_216,Standard,,S2,2,,BN50_38,RN18_50_215,COMBINED_1
13,10146,2022,Jun,6,DNE_753,Sample,ENE 753,,,CJG095,BN50_38,RN18_50_216,COMBINED_1
14,10147,2022,Jun,6,DNE_2731,Sample,ENE 2731,,,CJG1142,BN50_38,RN18_50_216,COMBINED_1
15,10148,2022,Jun,6,COMBINED_1,Pooled,,S3,3,,BN50_38,RN18_50_216,COMBINED_2
16,10149,2022,Jun,6,DNE_2983,Sample,ENE 2983,,,CJG1930,BN50_38,RN18_50_216,COMBINED_2
17,10150,2022,Jun,6,DNE_709,Sample,ENE 709,,,CJG051,BN50_38,RN18_50_216,COMBINED_2
18,10151,2022,Jun,6,DNE_3117,Sample,ENE 3117,,,CJG1831,BN50_38,RN18_50_216,COMBINED_2
19,10152,2022,Jun,6,DNE_2730,Sample,ENE 2730,,,CJG1102,BN50_38,RN18_50_216,COMBINED_2
20,10153,2022,Jun,6,DNE_2745,Sample,ENE 2745,,,CJG748,BN50_38,RN18_50_216,COMBINED_2
21,10154,2022,Jun,6,RN18_50_217,Standard,,S2,2,,BN50_38,RN18_50_216,COMBINED_2
22,10155,2022,Jun,6,DNE_759,Sample,ENE 759,,,CJG101,BN50_38,RN18_50_217,COMBINED_2
23,10156,2022,Jun,6,DNE_754,Sample,ENE 754,,,CJG096,BN50_38,RN18_50_217,COMBINED_2
24,10157,2022,Jun,6,DNE_3102,Sample,ENE 3102,,,CJG1813,BN50_38,RN18_50_217,COMBINED_2
25,10158,2022,Jun,6,DNE_2773,Sample,ENE 2773,,,CJG181,BN50_38,RN18_50_217,COMBINED_2
26,10159,2022,Jun,6,DNE_3110,Sample,ENE 3110,,,CJG1811,BN50_38,RN18_50_217,#N/A
27,10160,2022,Jun,6,COMBINED_2,Pooled,,S3,3,,BN50_38,RN18_50_217,COMBINED_3_MSMS
28,10161,2022,Jun,6,DNE_2574,Sample,ENE 2574,,,CJG1252,BN50_38,RN18_50_217,COMBINED_3_MSMS
29,10162,2022,Jun,6,DNE_2391,Sample,ENE 2391,,,CJG946,BN50_38,RN18_50_217,COMBINED_3_MSMS
30,10163,2022,Jun,6,RN18_50_218,Standard,,S2,2,,BN50_38,RN18_50_217,COMBINED_3_MSMS
31,10164,2022,Jun,6,DNE_2617,Sample,ENE 2617,,,CJG834,BN50_38,RN18_50_218,COMBINED_3_MSMS
32,10165,2022,Jun,6,DNE_2748,Sample,ENE 2748,,,CJG751,BN50_38,RN18_50_218,COMBINED_3_MSMS
33,10166,2022,Jun,6,DNE_3099,Sample,ENE 3099,,,CJG1809,BN50_38,RN18_50_218,COMBINED_3_MSMS
34,10167,2022,Jun,6,DNE_2623,Sample,ENE 2623,,,CJG1144,BN50_38,RN18_50_218,COMBINED_3_MSMS
35,10168,2022,Jun,6,DNE_2679,Sample,ENE 2679,,,CJG1125,BN50_38,RN18_50_218,COMBINED_3_MSMS
36,10169,2022,Jun,7,RN18_50_219,Standard,,S2,2,,BN50_38,RN18_50_218,#N/A
37,10170,2022,Jun,7,RN18_50_220,Standard,,S2,2,,BN50_38,RN18_50_219,#N/A
38,10171,2022,Jun,7,BN50_39,Blank,,S1,1,,BN50_38,,
39,10172,2022,Jun,7,DNE_2593,Sample,ENE 2593,,,CJG836,BN50_39,RN18_50_220,COMBINED_3_MSMS
40,10173,2022,Jun,7,DNE_2737,Sample,ENE 2737,,,CJG1393,BN50_39,RN18_50_220,COMBINED_3_MSMS
41,10174,2022,Jun,7,DNE_3123,Sample,ENE 3123,,,CJG1785,BN50_39,RN18_50_220,COMBINED_3_MSMS
42,10175,2022,Jun,7,COMBINED_3_MSMS,Pooled,,S3,3,,BN50_39,RN18_50_220,COMBINED_4
43,10176,2022,Jun,7,DNE_1731,Sample,ENE 1731,,,CJG403,BN50_39,RN18_50_220,COMBINED_4
44,10177,2022,Jun,7,DNE_2740,Sample,ENE 2740,,,CJG1659,BN50_39,RN18_50_220,COMBINED_4
45,10178,2022,Jun,7,DNE_2777,Sample,ENE 2777,,,CJG490,BN50_39,RN18_50_220,COMBINED_4
46,10179,2022,Jun,7,DNE_2497,Sample,ENE 2497,,,CJG1286,BN50_39,RN18_50_220,COMBINED_4
47,10180,2022,Jun,7,DNE_3105,Sample,ENE 3105,,,CJG1818,BN50_39,RN18_50_220,COMBINED_4
48,10181,2022,Jun,7,DNE_1536,Sample,ENE 1536,,,CJG207,BN50_39,RN18_50_220,COMBINED_4
49,10182,2022,Jun,7,DNE_2699,Sample,ENE 2699,,,CJG1133,BN50_39,RN18_50_220,COMBINED_4
50,10183,2022,Jun,7,DNE_2967,Sample,ENE 2967,,,CJG804,BN50_39,RN18_50_220,COMBINED_4
51,10184,2022,Jun,7,DNE_3103,Sample,ENE 3103,,,CJG1821,BN50_39,RN18_50_220,COMBINED_4
52,10185,2022,Jun,7,DNE_2600,Sample,ENE 2600,,,CJG843,BN50_39,RN18_50_220,COMBINED_4
53,10186,2022,Jun,7,COMBINED_4,Pooled,,S3,3,,BN50_39,RN18_50_220,#N/A
54,10187,2022,Jun,7,RN18_50_221,Standard,,S2,2,,BN50_39,RN18_50_220,COMBINED_5
55,10188,2022,Jun,7,DNE_2750,Sample,ENE 2750,,,CJG753,BN50_39,RN18_50_221,COMBINED_5
56,10189,2022,Jun,7,DNE_2610,Sample,ENE 2610,,,CJG825,BN50_39,RN18_50_221,COMBINED_5
57,10190,2022,Jun,7,DNE_2628,Sample,ENE 2628,,,CJG1158,BN50_39,RN18_50_221,COMBINED_5
58,10191,2022,Jun,7,DNE_2603,Sample,ENE 2603,,,CJG841,BN50_39,RN18_50_221,COMBINED_5
59,10192,2022,Jun,7,DNE_2766,Sample,ENE 2766,,,CJG153,BN50_39,RN18_50_221,COMBINED_5
60,10193,2022,Jun,7,DNE_2765,Sample,ENE 2765,,,CJG215,BN50_39,RN18_50_221,COMBINED_5
61,10194,2022,Jun,7,DNE_2618,Sample,ENE 2618,,,CJG864,BN50_39,RN18_50_221,COMBINED_5
62,10195,2022,Jun,7,DNE_2749,Sample,ENE 2749,,,CJG752,BN50_39,RN18_50_221,COMBINED_5
63,10196,2022,Jun,7,DNE_2736,Sample,ENE 2736,,,CJG1686,BN50_39,RN18_50_221,COMBINED_5
64,10197,2022,Jun,7,DNE_2769,Sample,ENE 2769,,,CJG187,BN50_39,RN18_50_221,#N/A
65,10198,2022,Jun,7,COMBINED_5,Pooled,,S3,3,,BN50_39,RN18_50_221,#N/A
66,10199,2022,Jun,7,RN18_50_222,Standard,,S2,2,,BN50_39,RN18_50_221,COMBINED_6
67,10200,2022,Jun,7,DNE_3100,Sample,ENE 3100,,,CJG1810,BN50_39,RN18_50_222,COMBINED_6
68,10201,2022,Jun,7,DNE_3101,Sample,ENE 3101,,,CJG1812,BN50_39,RN18_50_222,COMBINED_6
69,10202,2022,Jun,7,DNE_1883,Sample,ENE 1883,,,CJG555,BN50_39,RN18_50_222,COMBINED_6
70,10203,2022,Jun,7,DNE_2733,Sample,ENE 2733,,,CJG1895,BN50_39,RN18_50_222,COMBINED_6
71,10204,2022,Jun,7,DNE_2953,Sample,ENE 2953,,,CJG1279,BN50_39,RN18_50_222,COMBINED_6
72,10205,2022,Jun,7,DNE_2753,Sample,ENE 2753,,,CJG756,BN50_39,RN18_50_222,COMBINED_6
73,10206,2022,Jun,7,DNE_3047,Sample,ENE 3047,,,CJG1915,BN50_39,RN18_50_222,COMBINED_6
74,10207,2022,Jun,7,DNE_3098,Sample,ENE 3098,,,CJG1814,BN50_39,RN18_50_222,COMBINED_6
75,10208,2022,Jun,7,DNE_3106,Sample,ENE 3106,,,CJG1820,BN50_39,RN18_50_222,COMBINED_6
76,10209,2022,Jun,7,DNE_2754,Sample,ENE 2754,,,CJG757,BN50_39,RN18_50_222,COMBINED_6
77,10210,2022,Jun,7,COMBINED_6,Pooled,,S3,3,,BN50_39,RN18_50_222,#N/A
78,10211,2022,Jun,7,RN18_50_223,Standard,,S2,2,,BN50_39,RN18_50_222,COMBINED_7
79,10212,2022,Jun,7,DNE_2695,Sample,ENE 2695,,,CJG1360,BN50_39,RN18_50_223,COMBINED_7
80,10213,2022,Jun,7,DNE_2739,Sample,ENE 2739,,,CJG1689,BN50_39,RN18_50_223,COMBINED_7
81,10214,2022,Jun,7,DNE_2738,Sample,ENE 2738,,,CJG1684,BN50_39,RN18_50_223,COMBINED_7
82,10215,2022,Jun,7,DNE_2780,Sample,ENE 2780,,,CJG539,BN50_39,RN18_50_223,COMBINED_7
83,10216,2022,Jun,7,DNE_2551,Sample,ENE 2551,,,CJG796,BN50_39,RN18_50_223,COMBINED_7
84,10217,2022,Jun,7,DNE_2747,Sample,ENE 2747,,,CJG750,BN50_39,RN18_50_223,COMBINED_7
85,10218,2022,Jun,7,DNE_2752,Sample,ENE 2752,,,CJG755,BN50_39,RN18_50_223,COMBINED_7
86,10219,2022,Jun,7,DNE_2966,Sample,ENE 2966,,,CJG800,BN50_39,RN18_50_223,COMBINED_7
87,10220,2022,Jun,7,DNE_2757,Sample,ENE 2757,,,CJG760,BN50_39,RN18_50_223,COMBINED_7
88,10221,2022,Jun,7,DNE_2759,Sample,ENE 2759,,,CJG1744,BN50_39,RN18_50_223,COMBINED_7
89,10222,2022,Jun,7,COMBINED_7,Pooled,,S3,3,,BN50_39,RN18_50_223,#N/A
90,10223,2022,Jun,7,RN18_50_224,Standard,,S2,2,,BN50_39,RN18_50_223,COMBINED_8
91,10224,2022,Jun,7,DNE_3120,Sample,ENE 3120,,,CJG1777,BN50_39,RN18_50_224,COMBINED_8
92,10225,2022,Jun,7,DNE_2763,Sample,ENE 2763,,,CJG1746,BN50_39,RN18_50_224,COMBINED_8
93,10226,2022,Jun,7,DNE_2778,Sample,ENE 2778,,,CJG553,BN50_39,RN18_50_224,COMBINED_8
94,10227,2022,Jun,7,DNE_2743,Sample,ENE 2743,,,CJG1688,BN50_39,RN18_50_224,COMBINED_8
95,10228,2022,Jun,7,DNE_2744,Sample,ENE 2744,,,CJG747,BN50_39,RN18_50_224,COMBINED_8
96,10229,2022,Jun,7,DNE_3111,Sample,ENE 3111,,,CJG1825,BN50_39,RN18_50_224,COMBINED_8
97,10230,2022,Jun,7,DNE_2988,Sample,ENE 2988,,,CJG1941,BN50_39,RN18_50_224,COMBINED_8
98,10231,2022,Jun,7,DNE_2771,Sample,ENE 2771,,,CJG193,BN50_39,RN18_50_224,COMBINED_8
99,10232,2022,Jun,7,DNE_3108,Sample,ENE 3108,,,CJG1824,BN50_39,RN18_50_224,COMBINED_8
100,10233,2022,Jun,7,DNE_3107,Sample,ENE 3107,,,CJG1817,BN50_39,RN18_50_224,COMBINED_8
101,10234,2022,Jun,7,COMBINED_8,Pooled,,S3,3,,BN50_39,RN18_50_224,#N/A
102,10235,2022,Jun,7,RN18_50_225,Standard,,S2,2,,BN50_39,RN18_50_224,#N/A
103,10236,2022,Jun,8,RN18_50_226,Standard,,S2,2,,BN50_39,RN18_50_225,#N/A
104,10237,2022,Jun,8,RN18_50_227,Standard,,S2,2,,BN50_39,RN18_50_227,#N/A
105,10238,2022,Jun,8,BN50_40,Blank,,S1,1,,BN50_39,RN18_50_226,COMBINED_9
106,10239,2022,Jun,8,DNE_2760,Sample,ENE 2760,,,CJG1743,BN50_40,RN18_50_227,COMBINED_9
107,10240,2022,Jun,8,DNE_3124,Sample,ENE 3124,,,CJG1788,BN50_40,RN18_50_227,COMBINED_9
108,10241,2022,Jun,8,DNE_2741,Sample,ENE 2741,,,CJG1685,BN50_40,RN18_50_227,COMBINED_9
109,10242,2022,Jun,8,DNE_2611,Sample,ENE 2611,,,CJG830,BN50_40,RN18_50_227,COMBINED_9
110,10243,2022,Jun,8,DNE_2615,Sample,ENE 2615,,,CJG850,BN50_40,RN18_50_227,COMBINED_9
111,10244,2022,Jun,8,DNE_3104,Sample,ENE 3104,,,CJG1816,BN50_40,RN18_50_227,COMBINED_9
112,10245,2022,Jun,8,DNE_3112,Sample,ENE 3112,,,CJG1827,BN50_40,RN18_50_227,COMBINED_9
113,10246,2022,Jun,8,DNE_2609,Sample,ENE 2609,,,CJG852,BN50_40,RN18_50_227,COMBINED_9
114,10247,2022,Jun,8,DNE_3118,Sample,ENE 3118,,,CJG1783,BN50_40,RN18_50_227,COMBINED_9
115,10248,2022,Jun,8,DNE_3119,Sample,ENE 3119,,,CJG1791,BN50_40,RN18_50_227,COMBINED_9
116,10249,2022,Jun,8,COMBINED_9,Pooled,,S3,3,,BN50_40,RN18_50_227,#N/A
117,10250,2022,Jun,8,RN18_50_228,Standard,,S2,2,,BN50_40,RN18_50_227,COMBINED_10
118,10251,2022,Jun,8,DNE_3122,Sample,ENE 3122,,,CJG1776,BN50_40,RN18_50_228,COMBINED_10
119,10252,2022,Jun,8,DNE_3121,Sample,ENE 3121,,,CJG1778,BN50_40,RN18_50_228,COMBINED_10
120,10253,2022,Jun,8,DNE_2604,Sample,ENE 2604,,,CJG856,BN50_40,RN18_50_228,COMBINED_10
121,10254,2022,Jun,8,DNE_1995,Sample,ENE 1995,,,CJG667,BN50_40,RN18_50_228,COMBINED_10
122,10255,2022,Jun,8,DNE_2479,Sample,ENE 2479,,,CJG1194,BN50_40,RN18_50_228,COMBINED_10
123,10256,2022,Jun,8,DNE_2751,Sample,ENE 2751,,,CJG754,BN50_40,RN18_50_228,COMBINED_10